xxx_3278759623	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
10703	0	10703	1	{{2,10702}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001213,4001212,5001205}	1	0			0	0	50752	12	800	10703		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801006	Task07/Task07_03.Task07_03		600			1			
10704	0	10704	1	{{2,50752}}	{0,12}	{{9},{2,1},{1,240}}	{5001205,4001211,4001212,4001213,5001208}	1	0			0	0	10705	12	800	10704		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801006	Task07/Task07_04.Task07_04		600			1			
10705	0	10705	1	{{2,10704}}	{0,12}	{{9},{2,1},{1,240}}	{4001102,4001116,4001103,4002102,4001108,5001113}	1	0			0	0	10706	12	800	10705		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801006	Task07/Task07_05.Task07_05		600			1			
10706	3	10706	1	{{2,10705}}	{0,12}	{{9},{2,1},{1,240}}	{4001103,4001102,5001111,4001112,4001116,5003110,4001108}	1	0			0	0	50753	12	800	10706		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801006	Task07/Task07_06.Task07_06		600			1			
10707	0	10707	1	{{2,50753}}	{0,12}	{{9},{2,1},{1,300}}	{6002101,4001112,4001114,4001106}	1	0			0	0	10708	12	800	10707		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801006	Task07/Task07_07.Task07_07		600			1			
10708	0	10708	1	{{2,10707}}	{0,12}	{{9},{2,1},{1,240}}	{4001107,4001106,4001112,4001108,5003110,4002103}	1	0			0	0	10709	12	800	10708		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801006	Task07/Task07_08.Task07_08		600			1			
10709	0	10709	1	{{2,10708}}	{0,12}	{{9},{2,1},{1,240}}	{4001103,4001212,4001112,5001111,4001211}	1	0			0	0	50754	12	800	10709		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801006	Task07/Task07_09.Task07_09		600			1			
10710	0	10710	1	{{2,50754}}	{0,12}	{{9},{2,1},{1,240}}	{5001101,4001107,4001112,4001102,4001108,500110902}	1	0			0	0	10711	12	800	10710		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801006	Task07/Task07_10.Task07_10		600			1			
10711	0	10711	1	{{2,10710}}	{0,12}	{{9},{2,1},{1,240}}	{4001116,4003103,5001111,5001113,4001108}	1	0			0	0	50755	12	800	10711		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801006	Task07/Task07_11.Task07_11		600			1			
10712	1	10712	1	{{2,50755}}	{0,12}	{{9},{2,1},{1,360}}	{6001103}	1	0			0	1	50756	12	800	10712		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804034	1801006	Task07/Task07_12.Task07_12		600			1			
10801	0	10801	1	{{2,50851}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001209,4003004,4003003,5002010}	1	0			0	0	50852	12	800	10801		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801007	Task08/Task08_01.Task08_01		600			1			
10802	0	10802	1	{{2,50852}}	{0,12}	{{9},{2,1},{1,240}}	{4002002,4001013,4002004,4002006,4001005,4001211,4001212,5001209,5001001,4002003,4001002}	1	0			0	0	10803	12	800	10802		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801007	Task08/Task08_02.Task08_02		600			1			
10803	0	10803	1	{{2,10802}}	{0,12}	{{9},{2,1},{1,240}}	{4001002,4001017,4001013,4003004,4001005,4002006,4002002,4002007}	1	0			0	0	50853	12	800	10803		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801007	Task08/Task08_03.Task08_03		600			1			
10804	0	10804	1	{{2,50853}}	{0,12}	{{9},{2,1},{1,240}}	{4001006,4001017,4002007,4001005,4001003,4002002,4001211,4001212,5001209,5001010,4002004,4001013}	1	0			0	0	10805	12	800	10804		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801007	Task08/Task08_04.Task08_04		600			1			
10805	0	10805	1	{{2,10804}}	{0,12}	{{9},{2,1},{1,240}}	{5001001,4002004,4003003,4002006,4001005,5001205,4002007,4001017,4002002}	1	0			0	0	10806	12	800	10805		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801007	Task08/Task08_05.Task08_05		600			1			
10806	3	10806	1	{{2,10805}}	{0,12}	{{9},{2,1},{1,240}}	{4002007,4002006,4002004,4001015,4009013,5001001,4002002,4001008,4001017}	1	0			0	0	50854	12	800	10806		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801007	Task08/Task08_06.Task08_06		600			1			
10807	0	10807	1	{{2,50854}}	{0,12}	{{9},{2,1},{1,240}}	{4003007,4002004,4001005,4002006,600100202}	1	0			0	0	10808	12	800	10807		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801007	Task08/Task08_07.Task08_07		600			1			
10808	0	10808	1	{{2,10807}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001209,4001213}	1	0			0	0	10809	12	800	10808		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801007	Task08/Task08_08.Task08_08		600			1			
10809	0	10809	1	{{2,10808}}	{0,12}	{{9},{2,1},{1,240}}	{4001002,4002007,4002004,4002003,5001207,4001211,4002006,5001010,4002013}	1	0			0	0	50855	12	800	10809		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801007	Task08/Task08_09.Task08_09		600			1			
10810	0	10810	1	{{2,50855}}	{0,12}	{{9},{2,1},{1,240}}	{4001017,4002007,4002004,4002003,4001005,4002013,4001211,4001212,5001209,5002010}	1	0			0	0	10811	12	800	10810		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801007	Task08/Task08_10.Task08_10		600			1			
10811	0	10811	1	{{2,10810}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001213,4001212,5001205}	1	0			0	0	50856	12	800	10811		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801007	Task08/Task08_11.Task08_11		600			1			
10812	1	10812	1	{{2,50856}}	{0,12}	{{9},{2,1},{1,360}}	{6001301}	1	0			0	1	50857	12	800	10812		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804044	1801007	Task08/Task08_12.Task08_12		600			1			
10901	0	10901	1	{{2,50951}}	{0,12}	{{9},{2,1},{1,240}}	{4002004,4001003,4001002,4009013,4001007,4001006,4002013,5001001}	1	0			0	0	50952	12	800	10901		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801008	Task09/Task09_01.Task09_01		600			1			
10902	0	10902	1	{{2,50952}}	{0,12}	{{9},{2,1},{1,240}}	{4002006,4002004,4001002,4002003,5002010,4002007,4009013}	1	0			0	0	10903	12	800	10902		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801008	Task09/Task09_02.Task09_02		600			1			
10903	0	10903	1	{{2,10902}}	{0,12}	{{9},{2,1},{1,240}}	{4002003,4003004,4003007,4001013,4001002,4009013,5002010,4001006,4001015}	1	0			0	0	50953	12	800	10903		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801008	Task09/Task09_03.Task09_03		600			1			
10904	0	10904	1	{{2,50953}}	{0,12}	{{9},{2,1},{1,240}}	{4001004,4001003,4001002,4002007,4001015,4001017}	1	0			0	0	10905	12	800	10904		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801008	Task09/Task09_04.Task09_04		600			1			
10905	0	10905	1	{{2,10904}}	{0,12}	{{9},{2,1},{1,240}}	{4001002,4002003,4003004,4002006,4002007,5002010,4002016,4009013,4001008}	1	0			0	0	10906	12	800	10905		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801008	Task09/Task09_05.Task09_05		600			1			
10906	3	10906	1	{{2,10905}}	{0,12}	{{9},{2,1},{1,240}}	{4002003,4002004,4009013,5001001,4001002,4002006,4003007,4001008,4001017}	1	0			0	0	50954	12	800	10906		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801008	Task09/Task09_06.Task09_06		600			1			
10907	0	10907	1	{{2,50954}}	{0,12}	{{9},{2,1},{1,240}}	{4002003,4002004,4001002,4009013,5002010,4002006,4002007,4001008,5001001,4001015,4003013}	1	0			0	0	10908	12	800	10907		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801008	Task09/Task09_07.Task09_07		600			1			
10908	0	10908	1	{{2,10907}}	{0,12}	{{9},{2,1},{1,240}}	{4001002,4002004,4002007,5001010,4009013,4003006,4001008,4001005,4001015,4003003}	1	0			0	0	10909	12	800	10908		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801008	Task09/Task09_08.Task09_08		600			1			
10909	0	10909	1	{{2,10908}}	{0,12}	{{9},{2,1},{1,240}}	{4002004,4002007,4009013,5002010,4001008,4002002}	1	0			0	0	50955	12	800	10909		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801008	Task09/Task09_09.Task09_09		600			1			
10910	0	10910	1	{{2,50955}}	{0,12}	{{9},{2,1},{1,240}}	{4002004,4002003,4001002,4001017,4009013,5001010,4002006,4001008,4002007,4002013}	1	0			0	0	10911	12	800	10910		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801008	Task09/Task09_10.Task09_10		600			1			
10911	0	10911	1	{{2,10910}}	{0,12}	{{9},{2,1},{1,240}}	{4002007,4001002,4002004,4003006,4009013,5001010,4001016,4001017,4002002,4001008}	1	0			0	0	50956	12	800	10911		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801008	Task09/Task09_11.Task09_11		600			1			
10912	1	10912	1	{{2,50956}}	{0,12}	{{9},{2,1},{1,360}}	{6001004}	1	0			0	1	50957	12	800	10912		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804046	1801008	Task09/Task09_12.Task09_12		600			1			
11001	0	11001	1	{{2,51052}}	{0,12}	{{9},{2,1},{1,240}}	{4001112,4001114,4001104,4001106,4001116,4001107,5001113,500110902}	1	0			0	0	51053	12	800	11001		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801009	Task10/Task10_01.Task10_01		600			1			
11002	0	11002	1	{{2,51053}}	{0,12}	{{9},{2,1},{1,240}}	{4001107,4001112,4001103,4001108,4001102,4001106,5001111,4001211}	1	0			0	0	11003	12	800	11002		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801009	Task10/Task10_02.Task10_02		600			1			
11003	0	11003	1	{{2,11002}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001206}	1	0			0	0	51054	12	800	11003		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801009	Task10/Task10_03.Task10_03		600			1			
11004	0	11004	1	{{2,51054}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001206,5001214,4001106}	1	0			0	0	11005	12	800	11004		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801009	Task10/Task10_04.Task10_04		600			1			
11005	0	11005	1	{{2,11004}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,6001201}	1	0			0	0	51055	12	800	11005		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801009	Task10/Task10_05.Task10_05		600			1			
11006	3	11006	1	{{2,51055}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001206,4001213,5001214}	1	0			0	0	11007	12	800	11006		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801009	Task10/Task10_06.Task10_06		600			1			
11007	0	11007	1	{{2,11006}}	{0,12}	{{9},{4,1,sp_weapontype5},{1,360}}	{4001211,4001212,4001213,5001214}	1	0			0	0	11008	12	800	11007		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801009	Task10/Task10_07.Task10_07		600			1			
11008	0	11008	1	{{2,11007}}	{0,12}	{{9},{2,1},{1,240}}	{4001108,4001102,4001104,4001211,5001203,5001206,4001212}	1	0			0	0	51056	12	800	11008		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801009	Task10/Task10_08.Task10_08		600			1			
11009	0	11009	1	{{2,51056}}	{0,12}	{{9},{2,1},{1,240}}	{4001108,4001102,4001104,4001211,5001203,5001206,4001212}	1	0			0	0	11010	12	800	11009		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801009	Task10/Task10_09.Task10_09		600			1			
11010	0	11010	1	{{2,11009}}	{0,12}	{{9},{2,1},{1,240}}	{4001211,4001212,5001203,5001206}	1	0			0	0	11011	12	800	11010		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801009	Task10/Task10_10.Task10_10		600			1			
11011	0	11011	1	{{2,11010}}	{0,12}	{{9},{2,1},{1,240}}	{5001203,4001211,4001212,5001209}	1	0			0	0	51057	12	800	11011		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801009	Task10/Task10_11.Task10_11		600			1			
11012	1	11012	1	{{2,51057}}	{0,12}	{{9},{2,1},{1,360}}	{6001203}	1	0			0	1	51058	12	800	11012		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804045	1801009	Task10/Task10_12.Task10_12		600			1			
11101	0	11101	1	{{2,51151}}	{0,12}	{{9},{2,1},{1,360}}	{400100304,400100601,400100403,4001002,500201003,4001017}	1	0			0	0	51152	12	800	11100		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801015	Task11/Task11_01.Task11_01		600			1			
11102	0	11102	1	{{2,51152}}	{0,12}	{{9},{2,1},{1,300}}	{6009505}	1	0			0	0	11103	12	800	11100		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801015	Task11/Task11_02.Task11_02		600			1			
11103	0	11103	1	{{2,11102}}	{0,12}	{{9},{2,1},{1,360}}	{5001501,5001504,4001003,5001001,5002010,400100403,4001002,4001017}	1	0			0	0	51153	12	800	11100		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801015	Task11/Task11_03.Task11_03		600			1			
11104	0	11104	1	{{2,51153}}	{0,12}	{{9},{2,1},{1,360}}	{400100403,400100601,4001002,4002002,500150403,4001003}	1	0			0	0	11105	12	800	11100		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801015	Task11/Task11_04.Task11_04		600			1			
11105	0	11105	1	{{2,11104}}	{0,12}	{{9},{2,1},{6,50}}	{4001003,4001004,4001005}	1	0			0	0	51154	12	800	11100		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801015	Task11/Task11_05.Task11_05		600			1			
11106	0	11106	1	{{2,51154}}	{0,12}	{{9},{2,1},{1,360}}	{400100403,4001002,400101601,5001501,400100304,4002013}	1	0			0	0	51155	12	800	11100		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801015	Task11/Task11_06.Task11_06		600			1			
11107	0	11107	1	{{2,51155}}	{0,12}	{{9},{2,1},{1,300}}	{4002506}	1	0			0	0	11108	12	800	11100		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801015	Task11/Task11_07.Task11_07		600			1			
11108	0	11108	1	{{2,11107}}	{0,12}	{{9},{2,1},{1,300}}	{4002506}	1	0			0	0	51156	12	800	11100		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801015	Task11/Task11_08.Task11_08		600			1			
11109	0	11109	1	{{2,51156}}	{0,12}	{{9},{2,1},{1,360}}	{4002506,500150102,500150402,6001101}	1	0			0	0	51157	12	800	11100		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801015	Task11/Task11_09.Task11_09		600			1			
11110	0	11110	1	{{2,51157}}	{0,12}	{{9},{2,1},{1,360}}	{400121101}	1	0			0	0	11111	12	800	11100		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801015	Task11/Task11_10.Task11_10		600			1			
11111	0	11111	1	{{2,11110}}	{0,12}	{{9},{2,1},{1,360}}	{400121101,500121401,400121202,5001504,4001003,4001004,5001501}	1	0			0	0	51158	12	800	11100		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801015	Task11/Task11_11.Task11_11		600			1			
11112	1	11112	1	{{2,51158}}	{0,12}	{{9},{2,1},{1,360}}	{500150101,500150401,6001501}	1	0			0	0	51159	12	800	11100		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804080	1801015	Task11/Task11_12.Task11_12		600			1			
11201	0	11201	1	{{2,51251}}	{0,12}	{{9},{2,1},{1,480}}	{5001018,400100403,400901304,4001002,400100304,4001005,400100601,4001007,4001017,4002002}	1	0			0	0	11202	12	800	11201		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801016	Task12/Task12_01.Task12_01		900			1			
11202	3	11202	1	{{2,11201}}	{0,12}	{{9},{2,1},{1,480}}	{400100601,400100403,4001002,4002002,4003003,4001007,4003013,4001005,4001016,4001015,5001001,400160601,400160202,500201003,5001018}	1	0			0	0	51252	12	800	11201		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801016	Task12/Task12_02.Task12_02		900			1			
11203	0	11203	1	{{2,51252}}	{0,12}	{{9},{2,1},{1,480}}	{4002004,500150104,500150404,4001002,4001006,4001005,4002002,4001007,4003003,400160202}	1	0			0	0	51253	12	800	11202		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801016	Task12/Task12_03.Task12_03		900			1			
11204	3	11204	1	{{2,51253}}	{0,12}	{{9},{2,1},{1,480}}	{400100403,4001005,400100601,4002002,400160202,4001016,4001002,5001001,4003003,4003007,400101504,400160601,5001018}	1	0			0	0	11205	12	800	11201		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801016	Task12/Task12_04.Task12_04		900			1			
11205	3	11205	1	{{2,11204}}	{0,12}	{{9},{2,1},{1,480}}	{4001002,400100601,4001005,400100304,400100403,5001010,400160202,4001016,5001001,4002002,400101504,4003007,5001018,5001019}	1	0			0	0	51254	12	800	11201		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801016	Task12/Task12_05.Task12_05		900			1			
11206	0	11206	1	{{2,51254}}	{0,12}	{{9},{2,1},{1,480}}	{4001002,4001004,400100304,400100601,4001005,4001007,4001015,4002002,400901304,4001017,4008013,5001019}	1	0			0	0	11207	12	800	11202		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801016	Task12/Task12_06.Task12_06		900			1			
11207	3	11207	1	{{2,11206}}	{0,12}	{{9},{2,1},{1,480}}	{6001006,4003004,4001003,4001005,4001007,4001015,4001002,4001006,4002002,5001001}	1	0			0	0	51255	12	800	11201		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801016	Task12/Task12_07.Task12_07		900			1			
11208	0	11208	1	{{2,51255}}	{0,12}	{{9},{2,1},{1,480}}	{5001018,4001002,4001004,4001003,400901303,400160601,4001212,400121102,500120601,4001213}	1	0			0	0	11209	12	800	11203		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801016	Task12/Task12_08.Task12_08		900			1			
11209	0	11209	1	{{2,11208}}	{0,12}	{{9},{2,1},{1,480}}	{4001002,400100403,400160601,4001017,4001015,400160202,4002002,5001001,4001007,500101002}	1	0			0	0	51256	12	800	11203		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801016	Task12/Task12_09.Task12_09		900			1			
11210	0	11210	1	{{2,51256}}	{0,12}	{{9},{2,1},{1,480}}	{400121102,400121203,400121302,4001002,4001007,400100402,400101607,4001005,4001015,400160601,500101002}	1	0			0	0	51257	12	800	11202		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801016	Task12/Task12_10.Task12_10		900			1			
11211	0	11211	1	{{2,51257}}	{0,12}	{{9},{2,1},{1,480}}	{400121102,400121203,400121302,5001207,4001002,400100304,400100403,400160601,400100601,5001019,4001005,5001018}	1	0			0	0	11212	12	800	11204		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801016	Task12/Task12_11.Task12_11		900			1			
11212	1	11212	1	{{2,11211}}	{0,12}	{{9},{2,1},{1,360}}	{6001006}	1	0			0	0	51258	12	800	11205		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804106	1801017	Task12/Task12_12.Task12_12		600			1			
11221	0	11221	1	{{2,51261}}	{0,12}	{{9},{2,1},{1,480}}	{400250601,400150601,400350601}	1	0			0	0	51262	12	800	11221		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801019	Task12/Task12_21.Task12_21		600			1			
11222	0	11222	1	{{2,51262}}	{0,12}	{{9},{2,1},{1,480}}	{400250601,400130102,400350601,400150601,4001216,400121203,5001214,400121302}	1	0			0	0	51263	12	800	11221		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801019	Task12/Task12_22.Task12_22		600			1			
11223	0	11223	1	{{2,51263}}	{0,12}	{{9},{2,1},{1,480}}	{400150601,400250601,400130103,400130403,5001403,400350601}	1	0			0	0	11224	12	800	11221		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801019	Task12/Task12_23.Task12_23		600			1			
11224	3	11224	1	{{2,11223}}	{0,12}	{{9},{2,1},{1,480}}	{6001505,400150601,400350601,400250601}	1	0			0	0	51264	12	800	11225		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801019	Task12/Task12_24.Task12_24		600			1			
